VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
22,1,50,106,Which Pokémon cannot Mega Evolve?  ,Pokémon nào không thể tiến hóa siêu cấp?,Which Pokémon cannot Mega Evolve?  ,โปเกมอนตัวใดไม่สามารถ Mega Evolve ได้?  ,Pokémon mana yang tidak bisa Mega Evolusi?  ,Aling Pokémon ang hindi maaaring Mega Evolve?  ,Pokémon manakah yang tidak boleh Mega Evolusi?,Roselia,Roselia,Roselia,Roselia,Roselia,Roselia,Roselia  ,Flame-Spitting Dragon  ,Phun Hỏa Long,Flame-Spitting Dragon  ,มังกรพ่นไฟ  ,Naga Penyembur Api  ,Naga ng Apoy  ,Naga Api  ,Heavy Steel,Thép lớn,Heavy Steel,เหล็กหนัก,Baja Berat,Matibay na Bakal,Keluli Berat,Soul-capturing Eyes  ,Câu hồn mắt,Soul-capturing Eyes  ,ดวงตาจับวิญญาณ  ,Mata Penangkap Jiwa  ,Soul-capturing Eyes  ,Mata Penangkap Jiwa  ,,
23,1,50,106,Which Pokémon can Mega Evolve?  ,Pokémon nào có thể tiến hóa siêu cấp?,Which Pokémon can Mega Evolve?  ,โปเกมอนตัวใดสามารถ Mega Evolve ได้?  ,Pokémon mana yang bisa Mega Evolusi?  ,Aling Pokémon ang maaaring Mega Evolve?  ,Pokémon manakah yang boleh Mega Evolusi?,Electrike,Electrike,Electrike,Electrike,Electrike,Electrike,Electrike  ,Pikachu  ,Pikachu,Pikachu  ,ปิกาจู  ,Pikachu  ,Pikachu  ,Pikachu  ,Cherry Blossom Fish,Cá hoa anh đào,Cherry Blossom Fish,ปลาซากุระ,Ikan Sakura,Cherry Blossom na Isda,Ikan Sakura,Floating Bubbles  ,Trôi nổi bong bóng,Floating Bubbles  ,ฟองสบู่ลอย  ,Gelembung Mengapung  ,Floating Bubbles  ,Gelembung Terapung  ,,
24,1,50,106,Which Pokémon has many branching forms after evolution?  ,Pokémon nào có nhiều hình thái phân nhánh sau khi tiến hóa?,Which Pokémon has many branching forms after evolution?  ,โปเกมอนตัวใดมีหลายรูปแบบแยกแขนงหลังวิวัฒนาการ?  ,Pokémon mana yang memiliki banyak bentuk bercabang setelah evolusi?  ,Aling Pokémon ang may maraming branching forms pagkatapos ng evolution?  ,Pokémon manakah yang mempunyai pelbagai bentuk evolusi bercabang?,Chàng trai không sợ hãi,Chàng trai không sợ hãi,Fearless Boy  ,เด็กหนุ่มผู้ไม่เกรงกลัว  ,Anak Laki-Laki Tak Takut  ,Batang Lalaki na Walang Takot  ,Budak Lelaki yang Tidak Takut  ,Little Weirdo  ,Tiểu Từ Quái,Little Weirdo  ,ตัวประหลาดตัวน้อย  ,Si Aneh Kecil  ,Munting Kakaiba  ,Yang Pelik Kecil  ,Little Delivery Worker,Công nhân vận chuyển nhỏ,Little Delivery Worker,คนส่งของตัวน้อย,Pekerja Pengantar Kecil,Munting Tagapaghahatid,Pekerja Penghantar Kecil,Cathy  ,Cathy,Cathy  ,แคธี  ,Cathy  ,Cathy  ,Cathy  ,,
25,1,50,106,Which Pokémon evolves into Masararu?  ,Pokémon nào sẽ tiến hóa thành Masararu?,Which Pokémon evolves into Masararu?  ,โปเกมอนตัวใดจะวิวัฒนาการเป็น Masararu?  ,Pokémon mana yang akan berevolusi menjadi Masararu?  ,Aling Pokémon ang mag-evolve sa Masararu?  ,Pokémon manakah yang akan berkembang menjadi Masararu?,Bọ gậy muỗi,Bọ gậy muỗi,Mosquito Larva  ,ลูกน้ำยุง  ,Jentik Nyamuk  ,Kulisap ng Lamok  ,Serangga Nyamuk  ,Mosquito Fragrance Master  ,Muỗi Hương Vận Sĩ,Mosquito Fragrance Master  ,ปรมาจารย์กลิ่นหอมยุง  ,Ahli Aroma Nyamuk  ,Guro ng Mabangong Lamok  ,Guru Nyamuk Wangi  ,Frog King,Vua ếch,Frog King,ราชากบ,Raja Katak,Hari ng Palaka,Raja Katak,Fish Water Jet  ,Nước vọt cá,Fish Water Jet  ,น้ำพุปลาฉีด  ,Semprotan Air Ikan  ,Fish Water Jet  ,Semburan Air Ikan  ,,
26,1,50,106,"When Charizard evolves into X form, what color is the flame on its tail?  ","Khi Charizard tiến hóa thành dạng X, ngọn lửa ở đuôi có màu gì?","When Charizard evolves into X form, what color is the flame on its tail?  ",เมื่อ Charizard วิวัฒนาการเป็นรูปแบบ X เปลวไฟที่หางมีสีอะไร?  ,"Saat Charizard berevolusi ke bentuk X, warna api di ekornya apa?  ","Kapag nag-evolve si Charizard sa X form, ano ang kulay ng apoy sa buntot niya?  ","Apabila Charizard berevolusi ke bentuk X, apakah warna api di ekornya?",Màu xanh,Màu xanh,Blue  ,สีน้ำเงิน  ,Biru  ,Asul  ,Biru  ,Red  ,Đỏ,Red  ,สีแดง  ,Merah  ,Pula  ,Merah  ,Purple,Tím,Purple,ม่วง,Ungu,Lila,Ungu,Orange Color  ,Màu cam,Orange Color  ,สีส้ม  ,Warna Oranye  ,Orange Color  ,Warna Oranye  ,,
27,1,50,111,What color is Shiny Lugia?  ,Shiny Lugia có màu gì?,What color is Shiny Lugia?  ,Shiny Lugia มีสีอะไร?  ,Apa warna Shiny Lugia?  ,Anong kulay ang Shiny Lugia?  ,Apakah warna Shiny Lugia?,Màu đen,Màu đen,Black  ,สีดำ  ,Hitam  ,Itim  ,Hitam  ,Yellow  ,Vàng,Yellow  ,สีเหลือง  ,Kuning  ,Dilaw  ,Kuning  ,White,Trắng,White,ขาว,Putih,Puti,Putih,Six Colors  ,Lục sắc,Six Colors  ,หกสี  ,Enam Warna  ,Six Colors  ,Enam Warna  ,,
28,1,50,112,Can Caterpie evolve into Lugia?  ,Caterpie có thể tiến hóa thành Lugia không?,Can Caterpie evolve into Lugia?  ,Caterpie สามารถวิวัฒนาการเป็น Lugia ได้ไหม?  ,Bisakah Caterpie berevolusi menjadi Lugia?  ,Maaari bang mag-evolve ang Caterpie sa Lugia?  ,Bolehkah Caterpie berevolusi menjadi Lugia?,"Không thể, các chủng tộc khác nhau","Không thể, các chủng tộc khác nhau","Impossible, different species  ",เป็นไปไม่ได้ สายพันธุ์ต่างกัน  ,"Tidak mungkin, spesies berbeda  ","Imposible, magkaibang lahi  ","Mustahil, bangsa berbeza  ","Maybe, they really look the same  ","Có thể, thật sự trông giống nhau","Maybe, they really look the same  ",อาจจะ ใช่ ดูคล้ายกันจริง ๆ  ,"Mungkin, memang terlihat mirip  ","Maaaring oo, magkahawig talaga  ","Mungkin ya, memang serupa  ",Can cross-species evolve,"Có thể, tiến hóa xuyên loài",Can cross-species evolve,สามารถวิวัฒนาการข้ามสายพันธุ์ได้,Bisa berevolusi lintas spesies,Maaaring mag-evolve sa ibang species,Boleh berevolusi merentas spesies,No Way to Verify  ,Không cách nào khảo chứng,No Way to Verify  ,ไม่มีวิธีตรวจสอบ  ,Tidak Bisa Diverifikasi  ,No Way to Verify  ,Tidak Dapat Diverifikasi  ,,
29,2,50,201,"In the anime, what is the gender of Ash's Pikachu?  ","Trong anime, Pikachu của Ash có giới tính nào?","In the anime, what is the gender of Ash's Pikachu?  ",ในอนิเมะ Pikachu ของ Ash มีเพศอะไร?  ,"Dalam anime, apa jenis kelamin Pikachu milik Ash?  ","Sa anime, anong kasarian ang Pikachu ni Ash?  ","Dalam anime, apakah jantina Pikachu milik Ash?",Giống đực,Giống đực,Male  ,เพศผู้  ,Jantan  ,Lalaki  ,Lelaki  ,Boundary Realm  ,Cái Giới,Boundary Realm  ,โลกเขตแดน  ,Dunia Batas  ,Hangganan ng Mundo  ,Sempadan Dunia  ,Genderless,Không phân biệt giới tính,Genderless,ไม่ระบุเพศ,Tidak memiliki jenis kelamin,Walang kasarian,Tiada jantina,No Way to Verify  ,Không cách nào khảo chứng,No Way to Verify  ,ไม่มีวิธีตรวจสอบ  ,Tidak Bisa Diverifikasi  ,No Way to Verify  ,Tidak Dapat Diverifikasi  ,,
30,2,50,201,"In the anime, which Pokémon caught by Ash is the heaviest?  ","Trong anime, Pokémon nào Ash bắt được là nặng nhất?","In the anime, which Pokémon caught by Ash is the heaviest?  ",ในอนิเมะ โปเกมอนตัวใดที่ Ash จับได้มีน้ำหนักมากที่สุด?  ,"Dalam anime, Pokémon mana yang ditangkap Ash yang terberat?  ","Sa anime, aling Pokémon ang pinakamabigat na nahuli ni Ash?  ","Dalam anime, Pokémon manakah yang ditangkap oleh Ash adalah yang paling berat?",Mewtwo,Mewtwo,Mewtwo  ,Mewtwo  ,Mewtwo  ,Mewtwo  ,Mewtwo  ,Great Steel Serpent  ,Đại Thép Xà,Great Steel Serpent  ,งูเหล็กยักษ์  ,Ular Baja Besar  ,Higanteng Bakal na Ahas  ,Ular Besi Gergasi  ,Snorlax,Snorlax,Snorlax,คาบิกอน,Snorlax,Snorlax,Snorlax,Turtle Land Station  ,Đài đất rùa,Turtle Land Station  ,สถานีดินเต่า  ,Stasiun Tanah Kura-kura  ,Turtle Land Station  ,Stasiun Tanah Kura-kura  ,,
31,2,50,201,"In the anime, Pikachu does not imitate whom?  ","Trong anime, Pikachu không mô phỏng ai?","In the anime, Pikachu does not imitate whom?  ",ในอนิเมะ Pikachu ไม่ได้เลียนแบบใคร?  ,"Dalam anime, Pikachu tidak meniru siapa?  ","Sa anime, hindi ginagaya ni Pikachu ang sino?  ","Dalam anime, Pikachu tidak meniru siapa?",Bom Gas,Bom Gas,Gas Bomb  ,ระเบิดแก๊ส  ,Bom Gas  ,Gas Bomb  ,Bom Gas  ,Meow Meow  ,Mèo Mèo,Meow Meow  ,เหมียว เหมียว  ,Meong Meong  ,Miyaw Miyaw  ,Miyaw Miyaw  ,Kangaskhan,Kangaskhan,Kangaskhan,คังสึคัง,Kangaskhan,Kangaskhan,Kangaskhan,Lizard Jungle  ,Rừng rậm thằn lằn,Lizard Jungle  ,ป่าจิ้งจก  ,Hutan Bunglon  ,Lizard Jungle  ,Hutan Bunglon  ,,
32,2,50,201,"In the anime, initially Brock was a gym leader, after traveling with Ash, what did he decide to become?  ","Trong anime, ban đầu Brock là trưởng phòng gym, sau khi cùng Ash đi du lịch, anh ấy quyết định trở thành gì?","In the anime, initially Brock was a gym leader, after traveling with Ash, what did he decide to become?  ",ในอนิเมะ ตอนแรก Brock เป็นหัวหน้าฟิตเนส หลังจากเดินทางกับ Ash เขาตัดสินใจจะเป็นอะไร?  ,"Dalam anime, awalnya Brock adalah pemimpin gym, setelah bepergian dengan Ash, dia memutuskan menjadi apa?  ","Sa anime, noong una si Brock ay gym leader, pagkatapos maglakbay kasama si Ash, ano ang napagpasyahan niyang maging?  ","Dalam anime, pada awalnya Brock adalah ketua gim, selepas mengembara dengan Ash, apakah kerjaya yang dipilihnya?",Bác sĩ Tinh linh,Bác sĩ Tinh linh,Spirit Doctor  ,หมอวิญญาณ  ,Dokter Roh  ,Doktor ng Espiritu  ,Doktor Rohani  ,Performance Sprite  ,Tinh Linh Biểu Diễn Gia,Performance Sprite  ,วิญญาณนักแสดง  ,Roh Pertunjukan  ,Espiritung Tagapalabas  ,Roh Persembahan  ,Pokémon Expert,Chuyên gia Pokémon,Pokémon Expert,ผู้เชี่ยวชาญโปเกมอน,Ahli Pokémon,Eksperto sa Pokémon,Pakar Pokémon,Spirit Doctor  ,Tinh linh tiến sĩ,Spirit Doctor  ,จิตแพทย์จิ๋ว  ,Dokter Roh  ,Spirit Doctor  ,Dokter Roh  ,,
33,2,50,201,"In the anime, who is Brock's father?  ","Trong anime, cha của Brock là ai?","In the anime, who is Brock's father?  ",ในอนิเมะ พ่อของ Brock คือใคร?  ,"Dalam anime, siapa ayah Brock?  ","Sa anime, sino ang ama ni Brock?  ","Dalam anime, siapakah ayah Brock?",Võ năng,Võ năng,Combat Skill  ,ทักษะต่อสู้  ,Keterampilan Bertarung  ,Kasanayang Pandigma  ,Kemahiran Tempur  ,Martial General  ,Võ Tướng,Martial General  ,แม่ทัพนักรบ  ,Jenderal Pejuang  ,Heneral ng Pakikidigma  ,Jeneral Perang  ,Xiaomi  ,Xiaomi,Xiaomi  ,เสียวหมี่  ,Xiaomi  ,Xiaomi  ,Xiaomi  ,Little Guang  ,Tiểu Quang,Little Guang  ,เล็ก กวาง  ,Xiao Guang  ,Little Guang  ,Xiao Guang  ,,
34,2,50,201,"In the anime, which Pokémon owned by Misty cannot swim?  ","Trong anime, Pokémon nào mà Misty đã từng sở hữu không thể bơi?","In the anime, which Pokémon owned by Misty cannot swim?  ",ในอนิเมะ โปเกมอนตัวใดที่ Misty เคยเป็นเจ้าของไม่สามารถว่ายน้ำได้?  ,"Dalam anime, Pokémon mana yang pernah dimiliki Misty tidak bisa berenang?  ","Sa anime, aling Pokémon na pag-aari ni Misty ang hindi marunong lumangoy?  ","Dalam anime, Pokémon manakah yang pernah dimiliki oleh Misty tetapi tidak boleh berenang?",Psyduck,Psyduck,Psyduck  ,Psyduck  ,Psyduck  ,Psyduck  ,Psyduck  ,Thunder Lake Dragon  ,Hồ Lôi Long,Thunder Lake Dragon  ,มังกรสายฟ้าแห่งทะเลสาบ  ,Naga Danau Petir  ,Dragon ng Kidlat sa Lawa  ,Naga Petir Tasik  ,Starfish  ,Sao biển,Starfish  ,ปลาดาว  ,Bintang Laut  ,Starfish  ,Tapak Sulaiman  ,Mosquito Incense of the Golden Frog  ,Nhang muỗi con ếch hoàng,Mosquito Incense of the Golden Frog  ,ธูปยุงกบทอง  ,Dupa Nyamuk Kodok Emas  ,Mosquito Incense of the Golden Frog  ,Dupa Nyamuk Katak Emas  ,,
35,2,50,201,"In the anime, which type of Pokémon does Misty refuse to accept?  ","Trong anime, Misty không thể chấp nhận Pokémon thuộc loại nào?","In the anime, which type of Pokémon does Misty refuse to accept?  ",ในอนิเมะ Misty ไม่สามารถยอมรับโปเกมอนประเภทใด?  ,"Dalam anime, tipe Pokémon mana yang tidak bisa diterima Misty?  ","Sa anime, anong uri ng Pokémon ang hindi tinatanggap ni Misty?  ","Dalam anime, jenis Pokémon manakah yang tidak dapat diterima oleh Misty?",Loại côn trùng,Loại côn trùng,Insect Type  ,สายแมลง  ,Tipe Serangga  ,Uri ng Insekto  ,Jenis Serangga  ,Ice Type  ,Băng hệ,Ice Type  ,ธาตุน้ำแข็ง  ,Tipe Es  ,Uri ng Yelo  ,Jenis Ais  ,Grass Type  ,Hệ cỏ,Grass Type  ,สายพันธุ์หญ้า  ,Tipe Rumput  ,Grass Type  ,Jenis Rumput  ,Electric System  ,Điện hệ,Electric System  ,ระบบไฟฟ้า  ,Sistem Listrik  ,Elektrik System  ,Sistem Elektrik  ,,
36,2,50,201,"In the anime, when Misty became the gym leader in Kasumi city, which Pokémon did she overcome her fear of?  ","Trong anime, khi Misty trở thành trưởng phòng gym ở thành phố Kasumi, cô ấy đã vượt qua nỗi sợ hãi về Pokémon nào?","In the anime, when Misty became the gym leader in Kasumi city, which Pokémon did she overcome her fear of?  ",ในอนิเมะ เมื่อ Misty กลายเป็นหัวหน้าฟิตเนสที่เมือง Kasumi เธอเอาชนะความกลัวโปเกมอนตัวใด?  ,"Dalam anime, ketika Misty menjadi pemimpin gym di kota Kasumi, Pokémon mana yang berhasil dia atasi rasa takutnya?  ","Sa anime, nang maging gym leader si Misty sa lungsod ng Kasumi, aling Pokémon ang kanyang nalampasan ang takot?  ","Dalam anime, apabila Misty menjadi ketua gim di bandar Kasumi, dia telah mengatasi ketakutannya terhadap Pokémon apa?",Gyarados,Gyarados,Gyarados  ,Gyarados  ,Gyarados  ,Gyarados  ,Gyarados  ,Koi King  ,Cá Koi Vương,Koi King  ,ราชาปลาคาร์ฟ  ,Raja Koi  ,Haring Koi  ,Raja Koi  ,Psyduck  ,Psyduck,Psyduck  ,ไซดั๊ก  ,Psyduck  ,Psyduck  ,Psyduck  ,Lars Faction  ,Phái Lars,Lars Faction  ,ฝ่ายลาร์ส  ,Faksi Lars  ,Lars Faction  ,Faksi Lars  ,,
37,2,50,201,"In the anime, which of Ash’s Pokémon had to be sent to Musashi for the Perfect Contest because it liked Musashi?  ","Trong anime, Pokémon nào của Ash phải được gửi cho Musashi tham gia cuộc thi Hoàn Mỹ vì nó thích Musashi?","In the anime, which of Ash’s Pokémon had to be sent to Musashi for the Perfect Contest because it liked Musashi?  ",ในอนิเมะ โปเกมอนตัวใดของ Ash ต้องถูกส่งไปห Musashi เพื่อเข้าร่วมการประกวด Hoàn Mỹ เพราะมันชอบ Musashi?  ,"Dalam anime, Pokémon mana milik Ash yang harus dikirim ke Musashi untuk ikut Kontes Sempurna karena menyukai Musashi?  ","Sa anime, aling Pokémon ni Ash ang kailangang ipadala kay Musashi para sa Perfect Contest dahil gusto nito si Musashi?  ","Dalam anime, Pokémon manakah milik Ash yang dihantar kepada Musashi untuk menyertai Pertandingan Kecantikan kerana menyukai Musashi?",Aipom,Aipom,Aipom  ,Aipom  ,Aipom  ,Aipom  ,Aipom  ,Pikachu  ,Pikachu,Pikachu  ,ปิกาจู  ,Pikachu  ,Pikachu  ,Pikachu  ,Bulbasaur  ,Bulbasaur,Bulbasaur  ,บัลบาซอร์  ,Bulbasaur  ,Bulbasaur  ,Bulbasaur  ,Doll Wall Demon  ,Ma tường con rối,Doll Wall Demon  ,ตุ๊กตากำแพงปีศาจ  ,Boneka Dinding Setan  ,Doll Wall Demon  ,Boneka Dinding Setan  ,,
38,2,50,202,"In the anime, who has never worn women's clothing?  ","Trong anime, ai chưa bao giờ mặc đồ nữ?","In the anime, who has never worn women's clothing?  ",ในอนิเมะ ใครไม่เคยใส่ชุดผู้หญิง?  ,"Dalam anime, siapa yang tidak pernah memakai pakaian wanita?  ","Sa anime, sino ang hindi kailanman nagsuot ng damit pang babae?  ","Dalam anime, siapakah yang tidak pernah memakai pakaian wanita?",Brock,Brock,Brock  ,Brock  ,Brock  ,Brock  ,Brock  ,Meow Meow  ,Mèo Mèo,Meow Meow  ,เหมียว เหมียว  ,Meong Meong  ,Miyaw Miyaw  ,Miyaw Miyaw  ,James  ,James,James  ,เจมส์  ,James  ,James  ,James  ,Little Zhi  ,Tiểu Trí,Little Zhi  ,เสี่ยวจื้อ  ,Xiao Zhi  ,Little Zhi  ,Little Zhi  ,,
